,cell1_type,cell2_type,ligand,coactivity
0,B cells,B cells,Cd209a,0
1,Basophils,B cells,Cd209a,0
2,Capsule fibroblasts,B cells,Cd209a,0
3,cDC1s,B cells,Cd209a,0
4,cDC2s,B cells,Cd209a,0
5,Central Vein Endothelial cells,B cells,Cd209a,0
6,Cholangiocytes,B cells,Cd209a,0
7,Fibroblast,B cells,Cd209a,0
8,Hepatocytes_central,B cells,Cd209a,0
9,Hepatocytes_portal,B cells,Cd209a,0
10,ILC1s,B cells,Cd209a,0
11,KCs,B cells,Cd209a,1
12,LSECs_central,B cells,Cd209a,0
13,LSECs_portal,B cells,Cd209a,0
14,Lymphatic Endothelial cells,B cells,Cd209a,0
15,Mesothelial cells,B cells,Cd209a,0
16,Mig. cDCs,B cells,Cd209a,0
17,MoMac1,B cells,Cd209a,50
18,MoMac2,B cells,Cd209a,222
19,Monocytes,B cells,Cd209a,0
20,Neutrophils,B cells,Cd209a,0
21,NK cells,B cells,Cd209a,0
22,pDCs,B cells,Cd209a,0
23,Portain Vein Endothelial cells,B cells,Cd209a,0
24,Stellate cells,B cells,Cd209a,0
25,Stellate cells_central,B cells,Cd209a,0
26,Stellate cells_portal,B cells,Cd209a,0
27,T cells,B cells,Cd209a,0
28,VSMCs,B cells,Cd209a,0
29,B cells,Basophils,Cd209a,0
30,Basophils,Basophils,Cd209a,0
31,Capsule fibroblasts,Basophils,Cd209a,0
32,cDC1s,Basophils,Cd209a,0
33,cDC2s,Basophils,Cd209a,0
34,Central Vein Endothelial cells,Basophils,Cd209a,0
35,Cholangiocytes,Basophils,Cd209a,0
36,Fibroblast,Basophils,Cd209a,0
37,Hepatocytes_central,Basophils,Cd209a,0
38,Hepatocytes_portal,Basophils,Cd209a,0
39,ILC1s,Basophils,Cd209a,0
40,KCs,Basophils,Cd209a,0
41,LSECs_central,Basophils,Cd209a,0
42,LSECs_portal,Basophils,Cd209a,0
43,Lymphatic Endothelial cells,Basophils,Cd209a,0
44,Mesothelial cells,Basophils,Cd209a,0
45,Mig. cDCs,Basophils,Cd209a,0
46,MoMac1,Basophils,Cd209a,4
47,MoMac2,Basophils,Cd209a,0
48,Monocytes,Basophils,Cd209a,0
49,Neutrophils,Basophils,Cd209a,0
50,NK cells,Basophils,Cd209a,0
51,pDCs,Basophils,Cd209a,0
52,Portain Vein Endothelial cells,Basophils,Cd209a,0
53,Stellate cells,Basophils,Cd209a,0
54,Stellate cells_central,Basophils,Cd209a,0
55,Stellate cells_portal,Basophils,Cd209a,0
56,T cells,Basophils,Cd209a,0
57,VSMCs,Basophils,Cd209a,0
58,B cells,Capsule fibroblasts,Cd209a,0
59,Basophils,Capsule fibroblasts,Cd209a,0
60,Capsule fibroblasts,Capsule fibroblasts,Cd209a,0
61,cDC1s,Capsule fibroblasts,Cd209a,0
62,cDC2s,Capsule fibroblasts,Cd209a,0
63,Central Vein Endothelial cells,Capsule fibroblasts,Cd209a,0
64,Cholangiocytes,Capsule fibroblasts,Cd209a,0
65,Fibroblast,Capsule fibroblasts,Cd209a,0
66,Hepatocytes_central,Capsule fibroblasts,Cd209a,0
67,Hepatocytes_portal,Capsule fibroblasts,Cd209a,0
68,ILC1s,Capsule fibroblasts,Cd209a,0
69,KCs,Capsule fibroblasts,Cd209a,0
70,LSECs_central,Capsule fibroblasts,Cd209a,0
71,LSECs_portal,Capsule fibroblasts,Cd209a,0
72,Lymphatic Endothelial cells,Capsule fibroblasts,Cd209a,0
73,Mesothelial cells,Capsule fibroblasts,Cd209a,0
74,Mig. cDCs,Capsule fibroblasts,Cd209a,0
75,MoMac1,Capsule fibroblasts,Cd209a,0
76,MoMac2,Capsule fibroblasts,Cd209a,0
77,Monocytes,Capsule fibroblasts,Cd209a,0
78,Neutrophils,Capsule fibroblasts,Cd209a,0
79,NK cells,Capsule fibroblasts,Cd209a,0
80,pDCs,Capsule fibroblasts,Cd209a,0
81,Portain Vein Endothelial cells,Capsule fibroblasts,Cd209a,0
82,Stellate cells,Capsule fibroblasts,Cd209a,0
83,Stellate cells_central,Capsule fibroblasts,Cd209a,0
84,Stellate cells_portal,Capsule fibroblasts,Cd209a,0
85,T cells,Capsule fibroblasts,Cd209a,0
86,VSMCs,Capsule fibroblasts,Cd209a,0
87,B cells,cDC1s,Cd209a,0
88,Basophils,cDC1s,Cd209a,0
89,Capsule fibroblasts,cDC1s,Cd209a,0
90,cDC1s,cDC1s,Cd209a,0
91,cDC2s,cDC1s,Cd209a,0
92,Central Vein Endothelial cells,cDC1s,Cd209a,0
93,Cholangiocytes,cDC1s,Cd209a,0
94,Fibroblast,cDC1s,Cd209a,0
95,Hepatocytes_central,cDC1s,Cd209a,0
96,Hepatocytes_portal,cDC1s,Cd209a,0
97,ILC1s,cDC1s,Cd209a,0
98,KCs,cDC1s,Cd209a,13
99,LSECs_central,cDC1s,Cd209a,0
100,LSECs_portal,cDC1s,Cd209a,0
101,Lymphatic Endothelial cells,cDC1s,Cd209a,0
102,Mesothelial cells,cDC1s,Cd209a,0
103,Mig. cDCs,cDC1s,Cd209a,0
104,MoMac1,cDC1s,Cd209a,835
105,MoMac2,cDC1s,Cd209a,1918
106,Monocytes,cDC1s,Cd209a,0
107,Neutrophils,cDC1s,Cd209a,0
108,NK cells,cDC1s,Cd209a,0
109,pDCs,cDC1s,Cd209a,0
110,Portain Vein Endothelial cells,cDC1s,Cd209a,0
111,Stellate cells,cDC1s,Cd209a,0
112,Stellate cells_central,cDC1s,Cd209a,0
113,Stellate cells_portal,cDC1s,Cd209a,0
114,T cells,cDC1s,Cd209a,0
115,VSMCs,cDC1s,Cd209a,0
116,B cells,cDC2s,Cd209a,0
117,Basophils,cDC2s,Cd209a,0
118,Capsule fibroblasts,cDC2s,Cd209a,0
119,cDC1s,cDC2s,Cd209a,0
120,cDC2s,cDC2s,Cd209a,0
121,Central Vein Endothelial cells,cDC2s,Cd209a,0
122,Cholangiocytes,cDC2s,Cd209a,0
123,Fibroblast,cDC2s,Cd209a,0
124,Hepatocytes_central,cDC2s,Cd209a,0
