,Sender,count,enrichment/depletion
0,B cells,27,1.639017757279204
1,Basophils,5,1.6064845632767983
2,Capsule fibroblasts,3,-0.633577317467794
3,Central Vein Endothelial cells,6,-2.8875021955936435
4,Cholangiocytes,5,-3.337980922931164
5,Fibroblast,5,-1.8062120702768163
6,Hepatocytes_central,1133,0.003083284501466152
7,Hepatocytes_portal,570,6.866366314030065
8,ILC1s,9,-0.19989184888527708
9,KCs,98,-3.16026239780057
10,LSECs_central,103,-1.9299872377915253
11,LSECs_portal,245,0.6124270112920941
12,Lymphatic Endothelial cells,34,0.18107776871399453
13,Mesothelial cells,0,-1.2035661195007095
14,Mig. cDCs,1,0.17802137710124274
15,MoMac1,0,-1.0636919009581636
16,MoMac2,1,0.5767432264530138
17,Monocytes,1,-0.09727104824504107
18,NK cells,0,-0.895699060263923
19,Neutrophils,5,-1.673303765440699
20,Portain Vein Endothelial cells,7,-2.9856937962331047
21,Stellate cells,0,-1.6868467628532091
22,Stellate cells_central,4,-1.1657000950862215
23,Stellate cells_portal,200,4.503585497137783
24,T cells,23,0.13529824010178518
25,VSMCs,21,-0.5253200642938317
26,cDC1s,0,-1.4990255601999902
27,cDC2s,0,-0.539259851039945
28,pDCs,1,-0.555595716110031
