,Sender,count,enrichment/depletion
0,B cells,115,1.2644785830252934
1,Basophils,6,-0.0689513316149454
2,Capsule fibroblasts,22,-2.8759643606163525
3,Central Vein Endothelial cells,24,0.9764975577879262
4,Cholangiocytes,47,-10.13763175146113
5,Fibroblast,21,-6.0321521338332
6,Hepatocytes_central,1923,6.065034489835953
7,Hepatocytes_portal,1625,1.1245274631393987
8,ILC1s,71,-2.8388781347848915
9,KCs,660,-1.333145924116059
10,LSECs_central,324,-0.5069785570040267
11,LSECs_portal,565,2.3180974971594592
12,Lymphatic Endothelial cells,80,0.9899080907833778
13,Mig. cDCs,13,-1.0194453422469338
14,MoMac1,6,-1.206477763498084
15,MoMac2,0,-1.7071491302746513
16,Monocytes,9,-1.8192560100004405
17,NK cells,5,-0.638615683448557
18,Neutrophils,103,0.09465787113066701
19,Portain Vein Endothelial cells,42,-8.444203521106367
20,Stellate cells,1,-1.9190427834365134
21,Stellate cells_central,10,-0.22621096865527074
22,Stellate cells_portal,473,7.5738056688443915
23,T cells,209,1.6143470282867096
24,VSMCs,45,-2.4494129889388043
25,cDC1s,28,-1.9826244225395686
26,cDC2s,1,-2.091908407278916
27,pDCs,13,0.1526597869558074
